n,net,win,sl,tp1,avg,wr,days,tp1_days,min_score,members,tp2,tp3,lock
6,2.0,4,8,8,0.3333333333333333,66.66666666666666,6,4,4,E3+E7+E14+E15+E21,16,28,True
6,-41.96000000000001,0,8,8,-6.993333333333335,0.0,6,4,4,E3+E7+E14+E15+E21,16,28,False
6,-12.0,3,9,10,-2.0,50.0,6,3,4,E3+E7+E14+E15+E21,20,30,True
6,-46.96000000000001,0,9,10,-7.826666666666668,0.0,6,3,4,E3+E7+E14+E15+E21,20,30,False
9,-10.57019531249999,5,10,10,-1.1744661458333323,55.55555555555556,8,5,4,E3+E7+E5+E14,18,28,True
9,-62.66097656249998,1,10,10,-6.9623307291666645,11.11111111111111,8,5,4,E3+E7+E5+E14,18,28,False
9,-10.57019531249999,5,10,10,-1.1744661458333323,55.55555555555556,8,5,4,E3+E7+E5+E14,20,35,True
9,-62.66097656249998,1,10,10,-6.9623307291666645,11.11111111111111,8,5,4,E3+E7+E5+E14,20,35,False
9,-12.360976562499985,5,12,10,-1.3734418402777762,55.55555555555556,8,5,4,E3+E7+E5+E14,20,35,True
9,-68.45175781249998,1,12,10,-7.605750868055553,11.11111111111111,8,5,4,E3+E7+E5+E14,20,35,False
9,-12.0,5,8,8,-1.3333333333333333,55.55555555555556,8,5,4,E3+E7+E5+E14,16,28,True
9,-61.87078124999999,0,8,8,-6.8745312499999995,0.0,8,5,4,E3+E7+E5+E14,16,28,False
9,-8.5,5,9,10,-0.9444444444444444,55.55555555555556,8,5,4,E3+E7+E5+E14,20,30,True
9,-58.59078124999999,1,9,10,-6.510086805555555,11.11111111111111,8,5,4,E3+E7+E5+E14,20,30,False
