entry_ts,exit_ts,entry,exit,pnl,reason,hit_tp1,hit_tp2,hit_tp3,day,side,strike,moneyness,expiry,contract,mode
2025-06-23 10:00:00,2025-06-23 12:00:00,38.138588003607765,38.138588003607765,0.0,BE/trail,True,False,False,2025-06-23,PE,24650,OTM,2025-06-26,2025-06-26_PE_24650,runners
2025-06-05 09:00:00,2025-06-05 10:00:00,297.03676213273866,279.03676213273866,-18.0,SL,False,False,False,2025-06-05,PE,24700,OTM,2025-06-26,2025-06-26_PE_24700,runners
2025-06-05 15:00:00,2025-06-06 09:00:00,263.941195294492,245.941195294492,-18.0,SL,False,False,False,2025-06-05,PE,24700,OTM,2025-06-26,2025-06-26_PE_24700,runners
2025-06-16 13:00:00,2025-06-16 14:00:00,121.99427522333917,156.99427522333917,35.0,TP3,True,True,True,2025-06-16,PE,24700,OTM,2025-06-26,2025-06-26_PE_24700,runners
2025-06-20 11:00:00,2025-06-20 12:00:00,71.63383215130216,53.63383215130216,-18.0,SL,False,False,False,2025-06-20,PE,24700,OTM,2025-06-26,2025-06-26_PE_24700,runners
2025-06-23 10:00:00,2025-06-23 12:00:00,44.84105433696095,44.84105433696095,0.0,BE/trail,True,False,False,2025-06-23,PE,24700,OTM,2025-06-26,2025-06-26_PE_24700,runners
2025-06-05 09:00:00,2025-06-05 10:00:00,317.54103939650486,299.54103939650486,-18.0,SL,False,False,False,2025-06-05,PE,24750,ATM,2025-06-26,2025-06-26_PE_24750,runners
2025-06-05 15:00:00,2025-06-06 09:00:00,283.2245188579873,265.2245188579873,-18.0,SL,False,False,False,2025-06-05,PE,24750,ATM,2025-06-26,2025-06-26_PE_24750,runners
2025-06-16 13:00:00,2025-06-16 14:00:00,135.82236903792727,170.82236903792727,35.0,TP3,True,True,True,2025-06-16,PE,24750,ATM,2025-06-26,2025-06-26_PE_24750,runners
2025-06-23 09:00:00,2025-06-23 10:00:00,68.21498579629133,50.21498579629133,-18.0,SL,False,False,False,2025-06-23,PE,24750,ATM,2025-06-26,2025-06-26_PE_24750,runners
2025-06-23 15:00:00,2025-06-24 09:00:00,40.87478065322375,22.874780653223752,-18.0,SL,False,False,False,2025-06-23,PE,24750,ATM,2025-06-26,2025-06-26_PE_24750,runners
2025-06-05 09:00:00,2025-06-05 10:00:00,342.22863969609716,324.22863969609716,-18.0,SL,False,False,False,2025-06-05,PE,24800,ITM,2025-06-26,2025-06-26_PE_24800,runners
2025-06-05 15:00:00,2025-06-06 09:00:00,306.6080810549065,288.6080810549065,-18.0,SL,False,False,False,2025-06-05,PE,24800,ITM,2025-06-26,2025-06-26_PE_24800,runners
2025-06-16 13:00:00,2025-06-16 14:00:00,150.55749479529732,185.55749479529732,35.0,TP3,True,True,True,2025-06-16,PE,24800,ITM,2025-06-26,2025-06-26_PE_24800,runners
